n_topics,outlier_pct,coherence,diversity,silhouette,combined_score,embedding_model,min_cluster_size,n_neighbors,n_components
91,20.937093709370938,0.09991626292923611,0.7593406593406593,0.033892103,0.43588614184807395,mpnet,50,10,10
83,23.98739873987399,0.095807164016069,0.7855421686746988,0.039625704,0.4355914351306962,mpnet,50,15,5
87,23.61236123612361,0.09801412461090446,0.7689655172413793,0.03780889,0.4324719950056188,mpnet,50,15,10
85,21.102110211021103,0.0855454358967989,0.7658823529411765,0.03466407,0.4303332034087102,mpnet,50,10,5
83,28.442844284428443,0.08958457127946073,0.7903614457831325,0.026898606,0.4250150308058132,minilm,50,10,5
82,28.25782578257826,0.09838535643372902,0.774390243902439,0.043318786,0.4249940998224397,mpnet,50,25,10
68,31.893189318931892,0.09513072657104614,0.8,0.023773313,0.4237789846476593,minilm,50,15,10
81,27.96779677967797,0.0879241231840925,0.7839506172839507,0.04534064,0.42321165321787557,mpnet,50,25,5
83,29.137913791379138,0.09552004968625577,0.7746987951807229,0.026995525,0.4218938358145865,minilm,50,10,10
67,34.2984298429843,0.09345349950314806,0.8059701492537313,0.02890589,0.4199209348417249,minilm,50,25,10
76,34.31843184318432,0.09467303245286372,0.781578947368421,0.03326893,0.41317333675058954,minilm,50,15,5
124,24.192419241924192,0.08216713113829209,0.7290322580645161,0.037487302,0.4114084045046525,mpnet,30,15,5
119,24.887488748874887,0.07909806712121879,0.7378151260504202,0.04003979,0.41111859387798566,mpnet,30,15,10
110,29.36793679367937,0.09360860268394158,0.7390909090909091,0.04469849,0.40979570048188485,mpnet,30,25,10
116,31.343134313431342,0.10100605872014944,0.7396551724137931,0.02974189,0.40971331245735,minilm,30,10,10
136,23.137313731373137,0.07555384899997473,0.7205882352941176,0.035861805,0.4076787676254764,mpnet,30,10,5
95,37.503750375037505,0.10513283816425194,0.7642105263157895,0.0380604,0.4068220762267878,minilm,30,25,10
69,36.64866486648665,0.08139058977979063,0.7971014492753623,0.030311588,0.4065283999395307,minilm,50,25,5
129,23.707370737073706,0.09321725401876463,0.689922480620155,0.031947207,0.4061706297212814,mpnet,30,10,10
107,33.433343334333436,0.09721699577827628,0.7392523364485981,0.028837614,0.4035175121550507,minilm,30,15,5
100,34.41844184418442,0.0974299038808093,0.745,0.031864237,0.4033780682520358,minilm,30,15,10
116,29.837983798379838,0.09172444103855758,0.721551724137931,0.04773999,0.4026517701638984,mpnet,30,25,5
125,31.128112811281127,0.0974725981616532,0.712,0.028596113,0.40008007345826435,minilm,30,10,5
156,25.687568756875688,0.08024432751262357,0.7032051282051283,0.037477016,0.3997085647040989,mpnet,20,15,5
147,30.393039303930394,0.08765398821349255,0.7027210884353742,0.043086197,0.39385724202949773,mpnet,20,25,5
164,26.93769376937694,0.07917894570609278,0.6908536585365853,0.03610819,0.39297018287526814,mpnet,20,15,10
100,39.87398739873987,0.09700108034257848,0.747,0.039005518,0.39285256537380947,minilm,30,25,5
140,34.96849684968497,0.08581937289117286,0.7271428571428571,0.02791777,0.3911155498890736,minilm,20,15,10
143,34.758475847584755,0.09270063333964398,0.7118881118881119,0.029576415,0.39039979854108603,minilm,20,15,5
181,26.947694769476946,0.07699736206770222,0.6850828729281768,0.03504323,0.3901281533733503,mpnet,20,10,10
147,30.978097809780976,0.08417580484625893,0.6979591836734694,0.043862615,0.3895194619056084,mpnet,20,25,10
163,32.06320632063206,0.08700846973088441,0.6987730061349693,0.025913611,0.3890097240646688,minilm,20,10,10
164,32.57825782578258,0.0871640571938465,0.6932926829268292,0.03248292,0.3864133178234068,minilm,20,10,5
189,27.70777077707771,0.07151737916820476,0.6862433862433862,0.037758254,0.3862161639029628,mpnet,20,10,5
203,27.58775877587759,0.06777614565462918,0.680295566502463,0.035765465,0.38280122522629834,mpnet,15,15,10
130,38.988898889888986,0.09000157255756297,0.7169230769230769,0.03315234,0.38209991157592654,minilm,20,25,5
137,38.15881588158816,0.09032385927365712,0.7102189781021898,0.034753148,0.38190999130430914,minilm,20,25,10
191,32.75827582758276,0.06925414225020246,0.6973821989528796,0.046035886,0.3783251791557996,mpnet,15,25,5
242,29.502950295029503,0.06523068812141122,0.6735537190082644,0.04113921,0.37567555917312595,mpnet,15,10,10
212,30.10801080108011,0.06349280533086975,0.680188679245283,0.04026563,0.3755869848368596,mpnet,15,15,5
195,32.45324532453245,0.06682698309742334,0.6876923076923077,0.043403205,0.37481469320733907,mpnet,15,25,10
201,33.333333333333336,0.07685899305458624,0.6761194029850747,0.029004082,0.37459865075614884,minilm,15,10,10
181,36.47864786478648,0.0734828433472656,0.7,0.03174452,0.37378412594405985,minilm,15,15,5
228,32.223222322232225,0.055300889948371706,0.6986842105263158,0.040508788,0.3728092634876161,mpnet,10,25,5
200,32.85828582858286,0.07234743200790823,0.6745,0.030004278,0.3728071443467884,minilm,15,10,5
249,30.193019301930192,0.059446358355392824,0.6763052208835342,0.042524684,0.3722287068388963,mpnet,15,10,5
186,39.0989098909891,0.07497919863466983,0.6919354838709677,0.034078863,0.36687242469664705,minilm,15,15,10
257,31.058105810581058,0.049561634420339694,0.6797665369649806,0.039913815,0.3665945666785019,mpnet,10,15,5
264,31.44814481448145,0.05881151895518444,0.6651515151515152,0.03826803,0.3660549243940839,mpnet,10,15,10
230,33.2983298329833,0.05610829067443294,0.6795652173913044,0.040987805,0.3653270508886412,mpnet,10,25,10
173,40.96909690969097,0.08343753748025445,0.6774566473988439,0.03686169,0.36301756914039846,minilm,15,25,10
307,30.053005300530053,0.045988516482753115,0.6635179153094463,0.039056122,0.36194362223315035,mpnet,10,10,10
320,30.92809280928093,0.04963350151631915,0.661875,0.03992262,0.36152306513959775,mpnet,10,10,5
224,37.24872487248725,0.05846275895983057,0.6870535714285714,0.029475652,0.3608500011635122,minilm,10,15,5
172,41.914191419141915,0.07914368013190308,0.6802325581395349,0.037845213,0.35981322466952814,minilm,15,25,5
257,34.41344134413441,0.05811554837562689,0.6614785992217899,0.029924693,0.35867447126608154,minilm,10,10,5
261,33.948394839483946,0.05278030395933637,0.6647509578544061,0.026348371,0.3579186496570221,minilm,10,10,10
203,42.15921592159216,0.06787584337945206,0.6793103448275862,0.035650294,0.3534125932948176,minilm,10,25,5
227,38.998899889989,0.053242159415466825,0.673568281938326,0.032174625,0.3506937645092532,minilm,10,15,10
207,42.85428542854285,0.06881827701539284,0.6690821256038647,0.035518438,0.34942520533177013,minilm,10,25,10
